,uraian,biaya
0,Menteri/Pejabat Setingkat Menteri/Pejabat Negara Lainnya/yang disetarakan,1700000
1,Pejabat Eselon I/yang disetarakan,1400000
2,Pejabat Eselon II/yang disetarakan,1000000
3,Pejabat Eselon III ke bawah/yang disetarakan,900000
4,Honorarium Moderator,700000
5,Honorarium Pembawa Acara,400000
6,Penanggung Jawab,450000
7,Ketua/Wakil ketua,400000
8,Sekretaris,300000
9,Anggota,300000
